Time_s,x_error_km,y_error_km,z_error_km,xdot_error_km_s,ydot_error_km_s,zdot_error_km_s,x_3sigma_km,y_3sigma_km,z_3sigma_km,xdot_3sigma_km_s,ydot_3sigma_km_s,zdot_3sigma_km_s
0,-443.035548555724,-240.612515023452,493.301006306913,3,6,1,1.67304394797653,2.34537699671529,1.32979509832523,30,30,30
200,-348.10624699921,-467.540704024939,-109.326317826763,-0.286938628634093,-2.80099057322366,-2.62156275157576,0.900532684420636,0.735769923053859,0.277657403052433,0.00617688379745828,0.00554737587336267,0.0035162806996197
400,-39.3336377783389,-143.412626958941,-67.5333073343812,0.44971081126508,-0.00860955301167809,-0.264212001072178,0.683541927269527,0.739517826935142,0.379867067912932,0.00426626975340245,0.00432667051487625,0.00356567391787505
600,25.0430666342945,-1.20416335613572,-6.02510583787421,0.293183396289626,0.379288958718058,0.12680981598509,0.684185850316287,0.760042182005579,0.489756461456318,0.00439394843927295,0.00449644979369337,0.00389218451614148
800,22.1722834195261,29.7537729669293,10.4520772956978,0.111881853577661,0.247050456322994,0.0971090309384153,0.749944698773775,0.796350102985132,0.600299426002095,0.00454591605050464,0.00462366641684855,0.00417783231451191
1000,8.83157320898863,19.2042669822395,7.30545283373567,0.0140615776904136,0.0788740886726309,0.0298625398269907,0.830184126775976,0.821428287580026,0.703628096145596,0.00469248520898109,0.00468187547162003,0.00441296297245798
1200,1.1458942126028,6.44333833963992,2.86706036598707,-0.0134666984268578,0.000715634713593261,0.000890386832776313,0.912374929342816,0.836947346608778,0.796905452603876,0.00483628259741256,0.00471601808346865,0.00460613418938591
1400,-1.39095300648478,0.211842461319975,0.535931182185777,-0.0127656038527266,-0.0154111899631317,-0.00568076846254217,0.991075062501262,0.846722724485952,0.88033751547152,0.00496930760348708,0.00473682724248052,0.00476650677616511
1600,-1.3042587684613,-0.849444685734852,-1.0233717763881,-0.00577850230887544,-0.00946282742199678,-0.00647802936337105,1.06396972834693,0.852897509681894,0.955101532130497,0.00508873742076641,0.00474892467670755,0.00490141592287291
1800,-1.06838636049451,-0.579592658474212,-0.965276717141023,-0.0022563117730332,-0.00319082167848794,-0.00286362603837964,1.13044437059702,0.857015024034329,1.02251940918808,0.00519468249199249,0.00475612656526641,0.00501661293762846
2000,-0.860888080825134,-0.337977521659923,-0.239813754069473,-0.000599281592857714,-0.00108128911644512,-5.01573656124243e-05,1.19028980446612,0.860265513531432,1.0834856884031,0.00528766869291897,0.00476104616502489,0.00511601402706588
2200,-0.0221702513581477,0.0992683706917887,0.090704905430357,0.00167023511607933,0.000551276240976062,0.000842144756351471,1.24352360386657,0.863606830949233,1.13871820745124,0.00536844625515568,0.00476546768453627,0.00520254795541817
2400,-0.0435534274529346,0.0909603969594173,-0.342665053567998,0.000802306635946604,2.89383705309731e-06,-0.000558052346064652,1.29016843836935,0.867805237101851,1.18867997091494,0.00543764871820398,0.00477064688121929,0.00527822802660897
2600,-0.161964229531804,0.156703877433756,-0.741263385056754,0.000310737548589568,2.05069761611831e-05,-0.000995124755058141,1.3302896389959,0.873478757877628,1.23373445678104,0.00549582550297431,0.00477750256155882,0.00534457323547653
2800,-0.365001774142911,0.257577441514513,0.0226835105049759,-0.000112891328091891,0.000505330203916854,0.00136703120633508,1.3639375088633,0.881080262567401,1.27419977413901,0.00554340285615765,0.00478667720831512,0.00540278382420882
3000,-0.0589522092477637,-0.153336496625343,0.147671671119497,0.000853588856642329,-0.000839013453560966,0.00114917746177468,1.39121734295727,0.891015769893565,1.3103387583961,0.00558080787543861,0.00479876370992113,0.00545377713167985
