Time_s,x_error_km,y_error_km,z_error_km,xdot_error_km_s,ydot_error_km_s,zdot_error_km_s,x_3sigma_km,y_3sigma_km,z_3sigma_km,xdot_3sigma_km_s,ydot_3sigma_km_s,zdot_3sigma_km_s
0,-450.731376930329,-222.252566171617,502.053071118178,2.99999999964989,5.99999999964985,0.999999999649833,1.67304394797653,2.34537699671529,1.32979509832523,30,30,30
200,-75.9867470101944,35.2703579911831,-16.5388588146046,-0.270278705775234,2.4022207605438,-0.81696914576348,1.17269370222658,1.15375202420929,0.667168103723295,0.00811759397801485,0.00765792208818965,0.00510742447552486
400,2.21993489314173,141.877969900218,-40.4945452438659,0.146377270968544,1.15562077447251,-0.332401245975923,0.958065475680679,1.02215024625951,0.564593919319781,0.00486114401190362,0.00483772515153502,0.00407916001209835
600,-3.86014499532394,147.27353568073,-49.3707094850158,0.0825517948722567,0.662978757320226,-0.180879275554005,0.905335227167165,0.991351854017407,0.670135848383819,0.00478451946174806,0.004862698164914,0.00432717789617317
800,-9.95061092412652,134.335112145609,-48.8393531519437,0.0520357785242655,0.413858964327706,-0.0978701699072615,0.966513842341936,1.01977230376029,0.783717666589939,0.00494459788622549,0.00500818222538228,0.00455483021253037
1000,-11.7400975305136,114.045106776629,-42.4214145389617,0.0396404781443441,0.259755981462524,-0.0448567769439654,1.05938255263278,1.04953759261776,0.89803622906051,0.00508773127082073,0.0050730792129652,0.00477387556885248
1200,-10.3493756064872,90.2285451745347,-33.3044910614362,0.0341285649036016,0.153613979303369,-0.0111354973877096,1.15988539866804,1.06939768491967,1.01050478453389,0.00523027068887859,0.00510620888115473,0.00497064298845127
1400,-6.81059556719993,66.2099470451431,-23.2352451113593,0.0314916759939297,0.0789829646443998,0.00965195482118397,1.26008532091882,1.08229186420689,1.11655255259023,0.00537006470520579,0.00512842267066923,0.00514193470435932
1600,-2.62304771878371,44.0287689602792,-14.2212260872193,0.0292957774639129,0.0278000511252841,0.0205406395772454,1.35498997977351,1.09076478149202,1.2138242180538,0.00549976954333654,0.00514301608893824,0.00528989419263409
1800,1.61386046708776,25.4515135302045,-6.83050462383653,0.0272601963641395,-0.00453281699045682,0.0250234644399099,1.44199590762784,1.09649790761649,1.30198368619022,0.00561628158362379,0.0051522179463339,0.00541769621473369
2000,4.52428743560358,11.5698274104998,-1.15430647422454,0.024130577088914,-0.0218614354015747,0.0256857247448882,1.52023881351179,1.10095866871379,1.38160782939847,0.00571911427868605,0.00515856131679119,0.0055284045809444
2200,6.67540240306425,2.2534894413493,2.93255950892035,0.0209429793813993,-0.028355949332016,0.0242315207331452,1.58967666021645,1.10538977870464,1.45357730455776,0.00580868113278249,0.00516403254794477,0.00562483536048911
2400,7.52663109271907,-3.10745660684734,5.86224195423119,0.0171866942354728,-0.0278966382486723,0.0219021749917034,1.65040280932471,1.1108082891286,1.51852937696244,0.0058854458853103,0.00517006343096487,0.00570902883316511
2600,7.72966178317984,-6.12692345767027,7.03378008962454,0.0135639372636742,-0.0245382863799808,0.0182638287094653,1.70274484663321,1.11807524930274,1.57718980637278,0.00595021352812815,0.00517778729947925,0.00578294314384683
2800,6.88705061428118,-6.80690904885523,7.45913467257515,0.00966964221822408,-0.0189609596014544,0.0148193923191546,1.746802443992,1.1278300336291,1.62991753282133,0.00600336561457336,0.00518796511416748,0.00584774400592469
3000,5.50101239589276,-6.198625263125,7.42223153625582,0.00606237235750262,-0.013217385448042,0.0117363439383718,1.78256552315489,1.14054478266539,1.67694543042325,0.00604524585679053,0.00520121545735759,0.00590440672178409
